Correct;Wrong;Test image count;Accuracy;Detect Accuracy;FPS;Radius;Neighbours;Scale;Cascade;Single;Dataset
126;124;250;0.5040;1.0000;5.44;10;5;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
139;111;250;0.5560;1.0000;4.33;10;7;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
148;102;250;0.5920;1.0000;2.05;10;9;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
68;182;250;0.2720;1.0000;5.78;20;1;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
121;129;250;0.4840;1.0000;5.67;20;3;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
129;121;250;0.5160;1.0000;5.39;20;5;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
140;110;250;0.5600;1.0000;4.04;20;7;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
147;103;250;0.5880;1.0000;2.26;20;9;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
72;178;250;0.2880;1.0000;5.78;30;1;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
107;143;250;0.4280;1.0000;5.68;30;3;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
120;130;250;0.4800;1.0000;5.31;30;5;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
129;121;250;0.5160;1.0000;4.04;30;7;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
129;121;250;0.5160;1.0000;2.52;30;9;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
65;185;250;0.2600;1.0000;6.09;1;1;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
113;137;250;0.4520;1.0000;5.90;1;3;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
131;119;250;0.5240;1.0000;5.66;1;5;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
134;116;250;0.5360;1.0000;4.65;1;7;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
129;121;250;0.5160;1.0000;2.09;1;9;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
70;180;250;0.2800;1.0000;6.07;3;1;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
120;130;250;0.4800;1.0000;5.95;3;3;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
131;119;250;0.5240;1.0000;5.62;3;5;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
138;112;250;0.5520;1.0000;5.01;3;7;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
147;103;250;0.5880;1.0000;2.23;3;9;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
72;178;250;0.2880;1.0000;6.13;5;1;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
118;132;250;0.4720;1.0000;6.00;5;3;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
128;122;250;0.5120;1.0000;5.72;5;5;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
139;111;250;0.5560;1.0000;4.89;5;7;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
143;107;250;0.5720;1.0000;2.13;5;9;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
70;180;250;0.2800;1.0000;6.15;7;1;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
117;133;250;0.4680;1.0000;6.02;7;3;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
133;117;250;0.5320;1.0000;5.76;7;5;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
138;112;250;0.5520;1.0000;4.73;7;7;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
150;100;250;0.6000;1.0000;2.08;7;9;1.0;haarcascades/haarcascade_frontalface_alt2.xml;0;dup1
